;Прайс-лист;;;;;;;;
;;;;;;;;;
;УрАА ООО;;;;;;;;
;;;;;;;;;
;В валютах цен.;;;;;;;;
;Цены указаны на 24.11.2022;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Ценовая группа/ Номенклатура;Остаток;Номенклатура.Код;Номенклатура.Артикул;Номенклатура.Бренд;Интернет;;Основная цена продажи;
;;;;;;Цена;Ед.;Цена;Ед.
;;;;;;;;;
;АВТОМАГНАТ, БелАК;;;;;;;;
;7686.955.324 Насос ГУР 150 barMAN L/M/F2000.TGL/TGM/TGA/NGS/TGX. NL/NG/EL.Neoplan.Setra AM-20-019;1,000;Ф2685;AM-20-019;АВТОМАГНАТ;6 784,00 руб.;шт;6 340,00 руб.;шт
;7691.955.368 Насос ГУР Газель Бизнес AM-20-013;5,000;Ф2686;AM-20-013;АВТОМАГНАТ;6 051,00 руб.;шт;5 261,00 руб.;шт
;7692.955.419 Насос ГУР ГАЗель Next дв.CUMMINS ISF 2.8 ЕВРО-4  (Аналог: 5286672, ZF 769) AM-20-014;4,000;Ф3978;AM-20-014;АВТОМАГНАТ;5 256,00 руб.;шт;4 912,00 руб.;шт
;Бачок омывателя 1112.5208000 (с насосом 24V) КАМАЗ,ЗИЛ,УРАЛ (Прамо);8,000;Ф5402;1112.5208000;ПРАМО;537,00 руб.;шт;501,00 руб.;шт
;Бачок омывателя с эл.двиг 1162.5208000 (ГАЗ 3302, 2705  (2,5 л., 12В, без трубопровода );;Ф5810;1162.5208000;ПРАМО;449,00 руб.;шт.;419,00 руб.;шт.
;Блок электронный АБС 4460046160 КАМАЗ,МАЗ,КРАЗ/24V (WABCO);;Ф4707;4460046160;WABCO;7 356,00 руб.;шт.;6 396,00 руб.;шт.
;Вакуумный усилитель 204702834 Газель-Бизнес (без ГТЦ) АМ AM-03-005;5,000;Ф2328;AM-03-005;АВТОМАГНАТ;3 498,00 руб.;шт.;3 180,00 руб.;шт.
;Вакуумный усилитель 24-3510010 (ГАЗ-2410,-3302) АМ AM-03-007;1,000;Ф1675;AM-03-007;АВТОМАГНАТ;3 952,00 руб.;шт.;3 693,00 руб.;шт.
;Вакуумный усилитель 3151-3510010 (УАЗ 452, 469) АМ AM-03-008;2,000;Ф1676;AM-03-008;АВТОМАГНАТ;4 501,00 руб.;шт.;4 206,00 руб.;шт.
;Вакуумный усилитель 3741-3510010 н/о маленький (АМ) AM-03-009;1,000;Ф2333;AM-03-009;АВТОМАГНАТ;3 671,00 руб.;шт.;3 430,00 руб.;шт.
